"post_roaches","pre_roaches","treatment","senior","trapping_days"
1,0,"treatment","Not Senior Living",1
14,27,"treatment","Not Senior Living",1
77,148,"treatment","Not Senior Living",1
42,32,"treatment","Not Senior Living",1.14285714285714
21,28,"treatment","Not Senior Living",1
1,0,"treatment","Not Senior Living",1
45,28,"treatment","Not Senior Living",1
0,0,"treatment","Senior Living",0.8
0,14,"treatment","Senior Living",0.8
0,5,"treatment","Senior Living",1
0,0,"treatment","Senior Living",1
0,104,"treatment","Senior Living",0.685714285714286
183,27,"treatment","Senior Living",1
28,132,"treatment","Senior Living",1
49,258,"treatment","Senior Living",1
1,1,"treatment","Senior Living",1
0,2,"treatment","Senior Living",1
0,6,"treatment","Senior Living",1
3,3,"treatment","Senior Living",0.8
0,3,"treatment","Senior Living",0.857142857142857
0,0,"treatment","Senior Living",1
0,0,"treatment","Senior Living",1
0,0,"treatment","Senior Living",1
18,1.25,"treatment","Senior Living",1
0,0,"treatment","Senior Living",1
0,16,"treatment","Senior Living",1
5,68,"treatment","Senior Living",0.4
0,1,"treatment","Senior Living",0.8
19,18,"treatment","Senior Living",1.14285714285714
5,123.67,"treatment","Senior Living",1
0,2,"treatment","Senior Living",0.8
27,82.5,"treatment","Senior Living",1
0,0,"treatment","Senior Living",0.2
0,1.25,"treatment","Senior Living",1
77,171,"treatment","Senior Living",1
1,91.88,"treatment","Senior Living",1
3,5,"treatment","Senior Living",1
2,7,"treatment","Senior Living",1
0,0,"treatment","Senior Living",1
0,4,"treatment","Senior Living",1
22,53.75,"treatment","Senior Living",1
102,138.06,"treatment","Senior Living",1.14285714285714
0,1,"treatment","Senior Living",1.14285714285714
0,1.25,"treatment","Senior Living",1
0,28,"treatment","Senior Living",0.8
0,15,"treatment","Senior Living",1
0,0.88,"treatment","Senior Living",0.8
0,0,"treatment","Senior Living",1
0,33,"treatment","Senior Living",1
4,136.25,"treatment","Senior Living",4.28571428571429
12,127.5,"treatment","Senior Living",0.8
2,2,"treatment","Senior Living",0.8
0,2,"treatment","Senior Living",0.8
0,0,"treatment","Senior Living",1
1,3,"treatment","Senior Living",1
0,46,"treatment","Senior Living",1.28571428571429
40,68,"treatment","Senior Living",1
0,0,"treatment","Senior Living",1
1,49,"treatment","Senior Living",1
2,27.13,"treatment","Senior Living",1
27,45.5,"treatment","Not Senior Living",1
0,0,"treatment","Not Senior Living",0.457142857142857
2,4,"treatment","Not Senior Living",1
0,0,"treatment","Not Senior Living",2.42857142857143
0,1,"treatment","Not Senior Living",1.42857142857143
0,0,"treatment","Not Senior Living",1
0,0,"treatment","Not Senior Living",1
3,10.5,"treatment","Not Senior Living",1.14285714285714
1,0,"treatment","Not Senior Living",1
20,3,"treatment","Not Senior Living",1.14285714285714
0,0,"treatment","Not Senior Living",1
0,0,"treatment","Not Senior Living",1
0,0,"treatment","Not Senior Living",1
0,3.75,"treatment","Not Senior Living",0.8
0,0,"treatment","Not Senior Living",1.14285714285714
0,0,"treatment","Not Senior Living",1
0,0,"control","Not Senior Living",0.8
0,0.88,"control","Not Senior Living",1.57142857142857
0,2,"treatment","Not Senior Living",1
53,81,"treatment","Not Senior Living",1.14285714285714
69,31,"treatment","Not Senior Living",2.28571428571429
15,10,"treatment","Not Senior Living",1
0,10.23,"treatment","Not Senior Living",0.571428571428571
2,0,"control","Not Senior Living",0.8
4,13,"treatment","Not Senior Living",0.857142857142857
6,1,"treatment","Not Senior Living",0.8
8,33.25,"treatment","Not Senior Living",0.857142857142857
0,0,"control","Not Senior Living",2.28571428571429
0,53,"control","Not Senior Living",0.8
0,5,"treatment","Not Senior Living",1
18,157,"treatment","Not Senior Living",0.857142857142857
38,23.33,"treatment","Not Senior Living",1
0,6,"treatment","Not Senior Living",1.02857142857143
2,10,"treatment","Not Senior Living",0.6
18,100,"treatment","Not Senior Living",0.857142857142857
34,55,"treatment","Not Senior Living",1
1,0,"treatment","Not Senior Living",0.8
109,16.25,"treatment","Not Senior Living",1
5,7.78,"treatment","Not Senior Living",1.48571428571429
15,53,"treatment","Not Senior Living",1
0,2,"treatment","Not Senior Living",1
64,73,"treatment","Not Senior Living",1
0,0,"treatment","Not Senior Living",0.8
1,0,"treatment","Not Senior Living",0.8
0,0,"treatment","Not Senior Living",1
1,3.18,"treatment","Not Senior Living",1
3,5,"control","Not Senior Living",0.857142857142857
5,3,"control","Not Senior Living",0.8
7,0,"control","Not Senior Living",1
18,10,"control","Not Senior Living",0.8
1,1,"control","Not Senior Living",1
0,0,"treatment","Not Senior Living",1
0,1,"treatment","Not Senior Living",0.8
3,12,"treatment","Not Senior Living",1
3,17,"treatment","Not Senior Living",1
0,16,"treatment","Not Senior Living",1
19,2.5,"treatment","Not Senior Living",1.42857142857143
0,0,"treatment","Not Senior Living",1.71428571428571
8,21.88,"treatment","Not Senior Living",0.771428571428571
26,173,"treatment","Not Senior Living",0.8
50,111,"treatment","Not Senior Living",1
15,35,"treatment","Not Senior Living",1.85714285714286
0,0,"treatment","Not Senior Living",1
19,3,"treatment","Not Senior Living",1
5,2.1,"treatment","Not Senior Living",1
17,0,"treatment","Not Senior Living",1
121,49,"treatment","Not Senior Living",1
1,1.25,"treatment","Not Senior Living",1
0,1,"treatment","Not Senior Living",0.8
0,1,"treatment","Not Senior Living",1
0,0,"treatment","Not Senior Living",1
0,0,"treatment","Not Senior Living",2.28571428571429
4,54,"treatment","Not Senior Living",0.8
1,4.2,"treatment","Not Senior Living",1.42857142857143
14,51.25,"treatment","Not Senior Living",1.02857142857143
1,30,"treatment","Not Senior Living",1.71428571428571
25,196,"control","Not Senior Living",1.14285714285714
0,0,"control","Not Senior Living",1.14285714285714
14,2,"control","Not Senior Living",1
0,1.5,"control","Not Senior Living",1
59,96.25,"control","Not Senior Living",1.14285714285714
243,241.5,"control","Not Senior Living",0.8
80,140,"control","Not Senior Living",1.42857142857143
69,18,"control","Not Senior Living",0.914285714285714
14,3,"control","Not Senior Living",1.14285714285714
9,0.54,"control","Not Senior Living",1.28571428571429
38,82,"control","Not Senior Living",0.6
37,19,"control","Not Senior Living",1
48,18.75,"control","Not Senior Living",0.8
293,51,"control","Not Senior Living",1.14285714285714
7,0,"control","Not Senior Living",1
10,1,"control","Not Senior Living",1.42857142857143
19,0,"control","Not Senior Living",1
24,5.44,"control","Not Senior Living",1
91,0,"control","Not Senior Living",1
1,3,"control","Senior Living",1
0,0,"control","Senior Living",1
0,0,"control","Senior Living",1
0,0,"control","Senior Living",1
0,0,"control","Senior Living",1
148,28.75,"control","Senior Living",1.14285714285714
3,0,"control","Senior Living",0.857142857142857
26,3,"control","Senior Living",1
12,2,"control","Senior Living",1
77,135,"control","Senior Living",1
0,0,"control","Senior Living",1
7,68.25,"control","Senior Living",1
0,1,"control","Senior Living",1
1,0,"control","Senior Living",1
0,0,"control","Senior Living",0.6
17,0,"control","Senior Living",1.02857142857143
0,1,"control","Senior Living",1
7,1,"control","Senior Living",1
11,2.5,"control","Senior Living",0.685714285714286
6,51.25,"control","Senior Living",0.8
50,13.13,"control","Senior Living",1
1,0,"control","Senior Living",0.8
0,0,"control","Senior Living",1.48571428571429
0,0,"control","Senior Living",1
0,0,"control","Senior Living",1
171,0,"control","Senior Living",1
8,0,"control","Senior Living",1
